Id_Isapre;IsapreNombre;IsapreCheque;Rut_Isapre;Direccion_Isapre;CodSuperintendenciaIsapre;Codigo_Isapre_LibroRemu;Item_Pago;Correlativo_Ingreso_Ano_Actual;Correlativo_Ingreso_Ano_Anterior
1;FONASA;FONASA;61603000-0;;7.0;;;;
451;ISAPRE BANMEDICA;ISAPRE BANMEDICA;;;1.0;;;;
46;ESENCIAL S.A.;ESENCIAL S.A.;96936100-0;RAFAEL MALUENDA 1600;28.0;0.0;;;
452;ISAPRE CRUZ BLANCA;ISAPRE CRUZ BLANCA S.A.;;;5.0;;;;
453;ISAPRE VIDA PLENA;ISAPRE VIDA PLENA;;;24.0;;;;
454;COLMENA GOLDEN CROSS;COLMENA GOLDEN CROSS;;;4.0;;;;
455;ISAPRE PROMEPART;ISAPRE PROMEPART;;;;;;;
456;ISAPRE NUEVA MASVIDA;ISAPRE NUEVA MASVIDA;;;10.0;;;;
457;ISAPRE CONSALUD;ISAPRE CONSALUD;;;2.0;;;;
458;ISAPRE NORMEDICA;ISAPRE NORMEDICA;;;18.0;;;;
459;I.FUNDAC.DE SALUD TRABAJ.BECH;I.FUNDAC.DE SALUD TRABAJ.BECH;;;12.0;;;;
460;ISAPRE COMPENSACION;ISAPRE COMPENSACION;;;;;;;
100;MUTUAL DE SEGURIDAD;;;;;;;;
45;ISAPRE VIDA TRES;ISAPRE VIDA TRES;96502530-8;LIBERTAD 456;3.0;0.0;;;
